TimeSecsClass,DownClass,yrdline100Class,FavScoreDiffClass,Pmodel
47,4,2,1,0.0598339327502
48,1,2,1,0.234480241191
48,2,2,1,0.120710895273
48,3,2,1,0.129853181014
48,4,2,1,0.0598339327502
49,1,2,1,0.236800413574
49,2,2,1,0.120966578774
49,3,2,1,0.128994552031
49,4,2,1,0.0581207971688
50,1,2,1,0.236393000382
50,2,2,1,0.121222262274
50,3,2,1,0.12968849619
50,4,2,1,0.0592891927221
51,1,2,1,0.24081068017
51,2,2,1,0.117804846813
51,3,2,1,0.126231162109
51,4,2,1,0.0527571148383
52,1,2,1,0.235540811235
52,2,2,1,0.121733629276
52,3,2,1,0.128553497783
52,4,2,1,0.0598339327502
53,1,2,1,0.244820946767
53,2,2,1,0.120432421322
53,3,2,1,0.114323664439
53,4,2,1,0.0598339327502
54,1,2,1,0.243381437731
54,2,2,1,0.122244996278
54,3,2,1,0.127418499376
54,4,2,1,0.0598339327502
55,1,2,1,0.248831213364
55,2,2,1,0.10540195923
55,3,2,1,0.115795466907
55,4,2,1,0.0459619326876
56,1,2,1,0.236434331292
56,2,2,1,0.102444025853
56,3,2,1,0.118292289331
56,4,2,1,0.0598339327502
57,1,2,1,0.243950124391
57,2,2,1,0.12301204678
57,3,2,1,0.125716001765
57,4,2,1,0.0598339327502
58,1,2,1,0.248593419316
58,2,2,1,0.123267730281
58,3,2,1,0.117292130433
58,4,2,1,0.053156016441
59,1,2,1,0.24719186762
59,2,2,1,0.11153741015
59,3,2,1,0.113451142843
59,4,2,1,0.0474674210665
60,1,2,1,0.247367991583
60,2,2,1,0.109999269978
60,3,2,1,0.111293663566
60,4,2,1,0.0598339327502
0,1,3,1,0.13051860443
0,2,3,1,0.103987243442
0,3,3,1,0.278193660646
0,4,3,1,0.0624369481508
1,1,3,1,0.130767197254
1,2,3,1,0.109920420481
1,3,3,1,0.26320333096
1,4,3,1,0.0692487312638
2,1,3,1,0.136486701181
2,2,3,1,0.11924626221
2,3,3,1,0.252487325271
2,4,3,1,0.0826981958206
3,1,3,1,0.131789694501
3,2,3,1,0.12013418451
3,3,3,1,0.231999299509
3,4,3,1,0.0825932944636
4,1,3,1,0.1379379221
4,2,3,1,0.133031022044
4,3,3,1,0.223832454069
4,4,3,1,0.10239868041
5,1,3,1,0.149565763517
5,2,3,1,0.152021429383
5,3,3,1,0.223955512386
5,4,3,1,0.131220010515
6,1,3,1,0.145608327064
6,2,3,1,0.149349703286
6,3,3,1,0.200219772604
6,4,3,1,0.126596946432
7,1,3,1,0.13657169262
7,2,3,1,0.143532443035
7,3,3,1,0.173071644819
7,4,3,1,0.124319137845
8,1,3,1,0.134528238311
8,2,3,1,0.150174913797
8,3,3,1,0.158686204469
8,4,3,1,0.131897596336
9,1,3,1,0.13572924391
9,2,3,1,0.155224506631
9,3,3,1,0.142163320633
9,4,3,1,0.140926501141
10,1,3,1,0.142332104049
10,2,3,1,0.167350871626
10,3,3,1,0.133694458664
10,4,3,1,0.154871934083
11,1,3,1,0.138833060118
11,2,3,1,0.168977558071
11,3,3,1,0.112625619702
11,4,3,1,0.157774449944
12,1,3,1,0.15731471975
12,2,3,1,0.190151176053
12,3,3,1,0.116158889614
12,4,3,1,0.182320228426
13,1,3,1,0.145440791317
13,2,3,1,0.18462824033
13,3,3,1,0.0874410315478
13,4,3,1,0.181906775882
14,1,3,1,0.142398353806
14,2,3,1,0.186857995288
14,3,3,1,0.0704993301978
14,4,3,1,0.184704624741
15,1,3,1,0.143978939537
15,2,3,1,0.190204630617
15,3,3,1,0.0622315952249
15,4,3,1,0.21347243118
16,1,3,1,0.170366283228
16,2,3,1,0.221107208732
16,3,3,1,0.084236564037
16,4,3,1,0.226665989348
17,1,3,1,0.159168234485
17,2,3,1,0.216690426155
17,3,3,1,0.074445093336
17,4,3,1,0.227388994008
18,1,3,1,0.161911032813
18,2,3,1,0.227946692668
18,3,3,1,0.0786549684224
18,4,3,1,0.242833700716
19,1,3,1,0.147980615186
19,2,3,1,0.215068054205
19,3,3,1,0.0596070860852
19,4,3,1,0.228318953773
20,1,3,1,0.139791613235
20,2,3,1,0.218307068059
20,3,3,1,0.0598339327502
20,4,3,1,0.238637286593
21,1,3,1,0.143176482094
21,2,3,1,0.226311621212
21,3,3,1,0.0598339327502
21,4,3,1,0.248083517235
22,1,3,1,0.151177068388
22,2,3,1,0.234517138292
22,3,3,1,0.0598339327502
22,4,3,1,0.256923830049
23,1,3,1,0.151689188472
23,2,3,1,0.239402148535
23,3,3,1,0.0598339327502
23,4,3,1,0.265764142862
24,1,3,1,0.153338479259
24,2,3,1,0.24638349237
24,3,3,1,0.0598339327502
24,4,3,1,0.272355969108
25,1,3,1,0.154289307376
25,2,3,1,0.252316669408
25,3,3,1,0.0598339327502
25,4,3,1,0.281387702582
26,1,3,1,0.155240135494
26,2,3,1,0.258249846446
26,3,3,1,0.0598339327502
26,4,3,1,0.292285081302
27,1,3,1,0.156190963612
27,2,3,1,0.264183023485
27,3,3,1,0.0598339327502
27,4,3,1,0.297540317537
28,1,3,1,0.15714179173
28,2,3,1,0.270116200524
28,3,3,1,0.0587091360646
28,4,3,1,0.308488040342
29,1,3,1,0.158092619848
29,2,3,1,0.272396403652
29,3,3,1,0.0589503160723
29,4,3,1,0.318806019744
30,1,3,1,0.157562253691
30,2,3,1,0.281982554602
30,3,3,1,0.0598339327502
30,4,3,1,0.320226425547
31,1,3,1,0.159994276083
31,2,3,1,0.28791573164
31,3,3,1,0.0598339327502
31,4,3,1,0.336486645371
32,1,3,1,0.160945104201
32,2,3,1,0.293848908678
32,3,3,1,0.0576334339827
32,4,3,1,0.345326958184
33,1,3,1,0.159536989523
33,2,3,1,0.298244858255
33,3,3,1,0.0598339327502
33,4,3,1,0.354167270997
34,1,3,1,0.175047403492
34,2,3,1,0.319688136253
34,3,3,1,0.0738068062468
34,4,3,1,0.375338002748
35,1,3,1,0.160805007695
35,2,3,1,0.31064266632
35,3,3,1,0.0596468010643
35,4,3,1,0.371847896624
36,1,3,1,0.162226492773
36,2,3,1,0.317062279781
36,3,3,1,0.0576936593339
36,4,3,1,0.379534472474
37,1,3,1,0.16569924479
37,2,3,1,0.323014437082
37,3,3,1,0.0598339327502
37,4,3,1,0.389528522251
38,1,3,1,0.159304414105
38,2,3,1,0.326733078681
38,3,3,1,0.0579983000824
38,4,3,1,0.395802842385
39,1,3,1,0.167600901026
39,2,3,1,0.335381147949
39,3,3,1,0.0598339327502
39,4,3,1,0.407209147879
40,1,3,1,0.168551729144
40,2,3,1,0.341314324988
40,3,3,1,0.0598339327502
40,4,3,1,0.416049460692
41,1,3,1,0.169502557262
41,2,3,1,0.347247502026
41,3,3,1,0.0598339327502
41,4,3,1,0.424889773506
42,1,3,1,0.170453385379
42,2,3,1,0.353180679065
42,3,3,1,0.056758547136
42,4,3,1,0.432831872129
43,1,3,1,0.171404213497
43,2,3,1,0.359113856104
43,3,3,1,0.0598339327502
43,4,3,1,0.442570399133
44,1,3,1,0.172355041616
44,2,3,1,0.365047033142
44,3,3,1,0.0598339327502
44,4,3,1,0.451410711946
45,1,3,1,0.173305869733
45,2,3,1,0.370980210181
45,3,3,1,0.0598339327502
45,4,3,1,0.458796819128
46,1,3,1,0.173591882161
46,2,3,1,0.376913387219
46,3,3,1,0.0598339327502
46,4,3,1,0.469091337573
47,1,3,1,0.175207525969
47,2,3,1,0.382846564258
47,3,3,1,0.0598339327502
47,4,3,1,0.477931650386
48,1,3,1,0.176158354086
48,2,3,1,0.388779741297
48,3,3,1,0.0598339327502
48,4,3,1,0.486771963201
49,1,3,1,0.176796740278
49,2,3,1,0.386807458831
49,3,3,1,0.0598339327502
49,4,3,1,0.493008435652
50,1,3,1,0.178060010322
50,2,3,1,0.400646095374
50,3,3,1,0.0598339327502
50,4,3,1,0.504452588828
51,1,3,1,0.175974962518
51,2,3,1,0.404432298105
51,3,3,1,0.0537167344195
51,4,3,1,0.513292901641
52,1,3,1,0.179961666558
52,2,3,1,0.40968871307
52,3,3,1,0.0511283809371
52,4,3,1,0.522133214455
