TimeSecsClass,p1,p2,p3,p4,DownClass,yrdline100Class,FavScoreDiffClass
23,,,,,4,1,1
24,,,,,1,1,1
24,,,0.0413561492494,,2,1,1
24,,,0.116370153242,,3,1,1
24,0.0460841662498,,,,4,1,1
25,,,,,1,1,1
25,,,0.0388086658369,,2,1,1
25,,,0.119575676805,,3,1,1
25,,,,,4,1,1
26,,,,,1,1,1
26,0.0452384724702,,0.0362611824243,,2,1,1
26,,,0.122781200367,,3,1,1
26,0.0783644424817,,,,4,1,1
27,,,,,1,1,1
27,0.110947104884,,0.0337136990117,,2,1,1
27,,,0.125986723929,,3,1,1
27,,,,,4,1,1
28,0.187825823911,,,,1,1,1
28,0.123464500788,,0.0311662155992,,2,1,1
28,0.143623737374,,0.129192247491,,3,1,1
28,0.405302205557,,,,4,1,1
29,0.0408098218827,,,,1,1,1
29,0.327598810244,,0.0286187321866,,2,1,1
29,,,0.132397771054,,3,1,1
29,,,,,4,1,1
30,,,,,1,1,1
30,,,0.0260712487741,,2,1,1
30,,,0.135603294616,,3,1,1
30,0.666666666667,,,,4,1,1
31,,,,,1,1,1
31,,,0.0235237653615,,2,1,1
31,,,0.138808818178,,3,1,1
31,,,,,4,1,1
32,,,,0.135178473405,1,1,1
32,,,0.0209762819489,0.135178473405,2,1,1
32,,0.135178473405,0.14201434174,0.135178473405,3,1,1
32,,,,0.135178473405,4,1,1
33,,0.144911822088,,,1,1,1
33,,0.0944331643062,0.0184287985364,,2,1,1
33,0.0218525366476,,0.145219865302,,3,1,1
33,,,,,4,1,1
34,,0.108869593148,,,1,1,1
34,,,0.0158813151238,,2,1,1
34,,,0.148425388865,,3,1,1
34,0.0186522787578,,,,4,1,1
35,,0.183836736526,,,1,1,1
35,0.0450894364787,0.0861557412259,0.0133338317113,,2,1,1
35,,0.0114956554372,0.151630912427,,3,1,1
35,0.025926941383,,,,4,1,1
36,,0.154923887176,,,1,1,1
36,,,0.0107863482987,,2,1,1
36,,0.131478779884,0.154836435989,,3,1,1
36,,0.0708750233255,,,4,1,1
37,,,,,1,1,1
37,,0.0307373346091,0.00823886488615,,2,1,1
37,0.0778860272661,,0.158041959551,,3,1,1
37,0.0918012660861,,,,4,1,1
38,0.0030022027032,0.585629378039,,,1,1,1
38,,0.166778092542,0.00569138147359,,2,1,1
38,,0.112764444786,0.161247483114,,3,1,1
38,,0.157631069142,,,4,1,1
39,,,,,1,1,1
39,,,0.00314389806103,,2,1,1
39,,,0.164453006676,,3,1,1
39,,,,,4,1,1
40,,,,,1,1,1
40,,,0.000596414648474,,2,1,1
40,,,0.167658530238,,3,1,1
40,,,,,4,1,1
41,,,,,1,1,1
41,,,,,2,1,1
41,,,0.1708640538,,3,1,1
41,,,,,4,1,1
42,,,,,1,1,1
42,,,,,2,1,1
42,,,0.174069577363,,3,1,1
42,0.0855745895788,,,,4,1,1
43,0.040725441793,,,,1,1,1
43,,,,,2,1,1
43,,,0.177275100925,,3,1,1
43,,,,,4,1,1
44,,,,,1,1,1
44,,,,,2,1,1
44,,,0.180480624487,,3,1,1
44,,,,,4,1,1
45,,,,,1,1,1
45,,,,,2,1,1
45,0.0466970482022,,0.183686148049,,3,1,1
45,,,,,4,1,1
46,,,,,1,1,1
46,,,,,2,1,1
46,,,0.186891671612,,3,1,1
46,0.0463108320248,,,,4,1,1
47,,,,,1,1,1
47,,,,,2,1,1
47,,,0.190097195174,,3,1,1
47,0.230619820166,,,,4,1,1
48,,,,,1,1,1
48,,,,,2,1,1
48,0.0658782469702,,0.193302718736,,3,1,1
48,,,,,4,1,1
49,0.0413604499885,,,,1,1,1
49,0.184953005905,,,,2,1,1
49,,,0.196508242298,,3,1,1
49,0.276756987867,,,,4,1,1
50,0.120576205966,,,,1,1,1
50,0.168261586248,,,,2,1,1
50,0.0885884554749,,0.19971376586,,3,1,1
50,0.338045440788,,,,4,1,1
51,,,,,1,1,1
51,,,,,2,1,1
51,0.387631328406,,0.202919289423,,3,1,1
51,0.0575563085507,,,,4,1,1
52,,,,,1,1,1
52,0.196403006834,,,,2,1,1
52,,,0.206124812985,,3,1,1
52,0.000610796728324,,,,4,1,1
53,0.313686383491,,,,1,1,1
53,,,,,2,1,1
53,,,0.209330336547,,3,1,1
53,0.0178279684907,,,,4,1,1
54,,,,,1,1,1
54,0.120535035306,,,,2,1,1
54,0.109133290413,,0.212535860109,,3,1,1
54,,,,,4,1,1
55,0.180750047811,,,,1,1,1
55,,,,,2,1,1
55,0.157210401891,,0.215741383672,,3,1,1
55,0.725269784172,,,,4,1,1
56,0.519084705533,,,,1,1,1
56,0.610685120403,,,,2,1,1
56,,,0.218946907234,,3,1,1
56,,,,,4,1,1
57,,,,,1,1,1
57,,,,,2,1,1
57,,,0.222152430796,,3,1,1
57,0.266666666667,,,,4,1,1
58,,,,,1,1,1
58,,,,,2,1,1
58,,,0.225357954358,,3,1,1
58,0.571428571429,,,,4,1,1
59,,,,,1,1,1
59,0.466666666667,,,,2,1,1
59,0.615384615385,,0.228563477921,,3,1,1
59,0.777777777778,,,,4,1,1
60,0.411764705882,,,,1,1,1
60,0.307692307692,,,,2,1,1
60,0.666666666667,,0.231769001483,,3,1,1
60,,,,,4,1,1
